price,address,postal_code,bed,full_bath,half_bath,property_area,property_type
415000,22 POINT MCKAY Court NW,T3B 5B7,3.0,2.0,1.0,1419.0,townhouse
649000,5108 20 Street SW,T3E 1J8,3.0,2.0,1.0,1460.0,townhouse
699900,740 LAKE ONTARIO DR SE,T2J 3J8,4.0,2.0,1.0,1758.0,house
689900,138 ELGIN ESTATES HILL SE,T2Z 4Z5,4.0,3.0,,1801.0,house
699000,9851 ATHENS RD SE,T2J 1B8,4.0,3.0,,1407.0,house
114900,36 BURROUGHS PL NE,T1Y 6K5,3.0,2.0,,1222.0,
1090000,22 VARSITY RIDGE TERR NW,T3A 4Y2,4.0,2.0,3.0,2906.0,house
729900,31 ELGIN MEADOWS RD SE,T2Z 0S1,4.0,3.0,1.0,1857.0,house
274900,11329 30 ST SW,T2W 3Z6,3.0,1.0,2.0,1485.0,house
749900,2106 - 1234 5 AVE NW,T2N 0R9,2.0,2.0,1.0,1436.0,townhouse
344900,13 WALCREST GATE SE,T2X 4G3,3.0,2.0,1.0,1142.0,house
609900,2828 CONRAD DR NW,T2L 1B4,3.0,1.0,,1106.0,house
645900,16 Norford Common NW,T3G 6G6,2.0,2.0,1.0,1639.0,townhouse
216000,407 - 3000 SOMERVALE CRT SW,T2Y 4J2,2.0,2.0,,845.0,condo
674900,2638 36 ST SW,T3E 2Z8,4.0,3.0,1.0,1841.0,house
925000,39 WESTPOINT PL SW,T3H 5W5,5.0,3.0,1.0,2906.0,house
266745,213 - 100 AUBURN MEADOWS MANOR SE,T3M 2S6,2.0,2.0,,821.0,condo
225000,3031 33A ST SE,T2B 0W3,2.0,1.0,,788.0,house
764999,240 18 AVE NE,T2E 1N2,4.0,3.0,1.0,1844.0,house
510500,37 RED EMBERS ROW NE,T3N 0R3,5.0,4.0,1.0,1789.0,house
775000,8 EVERGREEN ROW SW,T2Y 5B1,4.0,3.0,1.0,1755.0,house
3200000,505 - 600 PRINCETON WAY SW,T2P 5N4,2.0,2.0,1.0,2915.0,condo
224000,406 - 1330 15 AVE SW,T3C 3N7,2.0,1.0,,869.0,condo
325000,2401 24A ST SW,T3E 1V9,4.0,2.0,,,house
